iter	Passed	Remaining
0	143	143623
1	148	73922
2	151	50384
3	155	38659
4	158	31519
5	162	26868
6	165	23516
7	169	20957
8	172	18958
9	175	17360
10	178	16092
11	182	15013
12	185	14087
13	188	13288
14	192	12627
15	195	12025
16	198	11487
17	201	11007
18	204	10582
19	208	10201
20	211	9843
21	214	9534
22	217	9253
23	221	9002
24	225	8780
25	229	8581
26	232	8376
27	235	8179
28	240	8037
29	243	7865
30	246	7698
31	249	7544
32	252	7400
33	255	7264
34	258	7133
35	261	7010
36	264	6892
37	267	6784
38	271	6689
39	274	6591
40	278	6514
41	281	6423
42	285	6344
43	288	6258
44	291	6180
45	294	6102
46	297	6027
47	300	5964
48	303	5897
49	306	5831
50	309	5765
51	313	5715
52	316	5663
53	320	5607
54	323	5550
55	326	5496
56	329	5445
57	332	5400
58	335	5348
59	338	5301
60	341	5254
61	344	5211
62	347	5171
63	350	5129
64	353	5091
65	356	5048
66	359	5008
67	363	4977
68	366	4940
69	369	4905
70	372	4872
71	376	4854
72	380	4827
73	383	4797
74	387	4778
75	390	4750
76	394	4725
77	397	4701
78	400	4671
79	403	4644
80	407	4618
81	410	4598
82	414	4575
83	417	4554
84	420	4530
85	424	4506
86	427	4486
87	430	4466
88	434	4445
89	437	4421
90	440	4402
91	444	4382
92	447	4362
93	450	4340
94	453	4318
95	457	4304
96	460	4284
97	463	4263
98	466	4244
99	469	4224
100	472	4210
101	476	4194
102	479	4176
103	482	4157
104	485	4139
105	489	4126
106	492	4110
107	495	4093
108	498	4075
109	501	4059
110	505	4048
111	508	4032
112	511	4016
113	514	4001
114	517	3985
115	522	3979
116	526	3972
117	530	3962
118	533	3952
119	537	3944
120	541	3936
121	544	3921
122	548	3908
123	551	3897
124	555	3886
125	558	3875
126	562	3863
127	564	3848
128	568	3838
129	571	3826
130	574	3813
131	578	3801
132	581	3788
133	585	3781
134	588	3769
135	591	3757
136	594	3746
137	597	3733
138	601	3723
139	604	3710
140	607	3698
141	610	3686
142	613	3676
143	617	3669
144	620	3660
145	623	3649
146	626	3637
147	629	3626
148	633	3618
149	636	3608
150	639	3597
151	642	3585
152	645	3574
153	649	3566
154	652	3556
155	655	3546
156	658	3535
157	661	3524
158	665	3518
159	668	3510
160	671	3500
161	675	3495
162	679	3487
163	682	3479
164	686	3473
165	689	3462
166	692	3452
167	695	3445
168	698	3436
169	701	3426
170	704	3416
171	707	3406
172	711	3399
173	714	3390
174	717	3380
175	719	3370
176	722	3360
177	726	3353
178	729	3347
179	733	3339
180	736	3331
181	739	3322
182	742	3315
183	745	3307
184	748	3299
185	751	3290
186	754	3281
187	757	3273
188	761	3266
189	764	3259
190	768	3255
191	774	3259
192	777	3252
193	780	3243
194	783	3235
195	786	3227
196	790	3220
197	793	3213
198	796	3204
199	799	3196
200	802	3188
201	805	3180
202	808	3173
203	811	3166
204	814	3158
205	817	3149
206	820	3141
207	823	3136
208	826	3129
209	829	3121
210	832	3113
211	835	3105
212	839	3099
213	841	3092
214	844	3083
215	847	3075
216	850	3067
217	853	3060
218	856	3053
219	858	3045
220	862	3039
221	865	3032
222	868	3024
223	871	3018
224	874	3011
225	877	3003
226	880	2997
227	883	2990
228	886	2985
229	889	2977
230	892	2970
231	895	2963
232	898	2956
233	901	2951
234	905	2947
235	908	2941
236	911	2935
237	914	2929
238	918	2925
239	922	2921
240	925	2915
241	928	2908
242	931	2902
243	935	2897
244	938	2891
245	941	2885
246	944	2878
247	946	2871
248	950	2866
249	953	2860
250	956	2854
251	959	2849
252	962	2842
253	966	2838
254	969	2831
255	972	2825
256	974	2818
257	977	2812
258	981	2807
259	984	2801
260	987	2795
261	990	2788
262	992	2782
263	995	2775
264	998	2770
265	1001	2764
266	1004	2758
267	1007	2752
268	1010	2746
269	1013	2741
270	1016	2735
271	1019	2728
272	1022	2722
273	1025	2716
274	1028	2712
275	1032	2708
276	1036	2704
277	1039	2698
278	1042	2694
279	1046	2690
280	1049	2685
281	1052	2680
282	1055	2674
283	1058	2669
284	1063	2667
285	1066	2662
286	1070	2658
287	1073	2654
288	1078	2653
289	1082	2650
290	1086	2646
291	1089	2640
292	1092	2636
293	1095	2631
294	1099	2627
295	1102	2622
296	1106	2618
297	1110	2616
298	1113	2610
299	1116	2604
300	1118	2598
301	1121	2592
302	1125	2589
303	1128	2584
304	1132	2580
305	1135	2574
306	1138	2569
307	1141	2565
308	1145	2561
309	1148	2555
310	1151	2550
311	1153	2544
312	1157	2541
313	1160	2536
314	1163	2530
315	1166	2525
316	1169	2519
317	1172	2515
318	1175	2509
319	1178	2504
320	1181	2499
321	1184	2493
322	1187	2488
323	1190	2483
324	1193	2478
325	1196	2473
326	1199	2467
327	1201	2462
328	1205	2458
329	1208	2453
330	1211	2448
331	1213	2442
332	1216	2437
333	1221	2434
334	1224	2430
335	1227	2424
336	1229	2419
337	1232	2414
338	1235	2408
339	1238	2404
340	1241	2398
341	1244	2393
342	1246	2388
343	1249	2382
344	1253	2379
345	1256	2374
346	1259	2369
347	1262	2364
348	1264	2359
349	1268	2355
350	1271	2350
351	1274	2346
352	1277	2340
353	1280	2336
354	1283	2332
355	1287	2328
356	1290	2324
357	1293	2320
358	1296	2315
359	1300	2312
360	1303	2307
361	1306	2303
362	1309	2298
363	1312	2293
364	1316	2289
365	1319	2285
366	1322	2280
367	1325	2276
368	1328	2271
369	1331	2267
370	1334	2263
371	1337	2258
372	1340	2253
373	1343	2248
374	1346	2243
375	1349	2239
376	1352	2234
377	1355	2229
378	1358	2225
379	1361	2220
380	1364	2216
381	1367	2212
382	1370	2207
383	1373	2203
384	1376	2198
385	1379	2194
386	1383	2190
387	1385	2185
388	1388	2181
389	1391	2176
390	1394	2172
391	1397	2168
392	1400	2163
393	1403	2159
394	1406	2154
395	1409	2149
396	1413	2146
397	1416	2142
398	1419	2137
399	1422	2133
400	1425	2129
401	1428	2125
402	1431	2121
403	1434	2116
404	1437	2112
405	1440	2108
406	1444	2104
